,Name,gini
682,DIERCHANCHU,0.458
683,TAKAKO,0.749
684,GUYBRUSH,0.702
685,BARBARICPEPE,0.662
686,HODLWOOD,0.702
687,LOWRIDERPEPE,0.517
688,PEPEAMANDA,0.572
689,PEPETARO,0.469
690,PEROCHI,0.49
691,PEPESHADES,0.696
692,ISEEYOUPEPE,0.8
693,GNITEPEPE,0.663
694,CYBERPEPE,0.688
695,LIZZFACEPEPE,0.773
696,PEPECARNIVAL,0.566
697,PEPEDRAGO,0.719
698,SANPOPEPE,0.574
699,PEPEEVO,0.397
700,WILEPEPE,0.699
701,FEELSPEPE,0.769
702,MODIPEPE,0.668
703,PHNTOMOFPEPE,0.798
704,PEPELITTLE,0.808
705,PEPEHERO,0.828
706,SPEPECTRE,0.726
707,GETPEPEFREE,0.809
708,ISOPEPE,0.587
709,PEPEGOKU,0.74
710,PEPEDRACULA,0.788
711,PEPESCOOBY,0.723
712,PEPEWATCH,0.733
713,BUGSPEPE,0.864
714,FLINTPEPE,0.821
715,RICKYPEPE,0.804
716,RINGITPEPE,0.91
717,CINDERPEPE,0.856
718,PEPEWONKA,0.831
719,PEPEGROUNDS,0.815
720,TUPACPEP,0.441
721,HAIKUPEPE,0.675
722,PEPENGAROO,0.473
723,HISTORICPEPE,0.584
724,PEPESWORD,0.777
725,PEPEHARU,0.415
726,PEPESAMSON,0.587
727,DECENTRAPEPE,0.791
728,POKERPEPE,0.735
729,PEPESPINNER,0.517
730,PEPEAKI,0.459
731,PEPEWYATT,0.691
732,PEPESACE,0.426
733,PEPETHUR,0.792
734,KANDINSKYPEP,0.408
735,PLAYBOYPEPE,0.743
736,PEPESEARCH,0.831
737,PEPEHOPE,0.566
738,SOJOURNPEPE,0.63
739,PEPERECALL,0.781
740,PEPEWAT,0.718
741,UKIYOEPEPE,0.842
742,UZUMAKIPEPE,0.735
743,PEPEDETCTVE,0.799
744,KIGURUMIPEPE,0.737
745,PEPEKAPARKER,0.654
746,JOJOXPEPE,0.834
747,DRAGONKEK,0.845
748,PEPETHREESIX,0.855
749,PEPEHOMER,0.87
750,PEPEWHITE,0.839
751,PEPELEVI,0.662
752,PEPEICHIGO,0.714
753,PEPEKARMA,0.771
754,PEPECONTRACT,0.731
755,PEPEARTHUR,0.834
756,PEPEPOLLOCK,0.881
757,LILMERMAID,0.841
758,PEPEMEGAMAN,0.743
759,CLIFFORDPEPE,0.866
760,HLYPEPANCAKE,0.834
761,PEPEPHARAON,0.874
762,PEPEDIRECTOR,0.0
763,YAMAPEPE,0.375
764,TOBIASPEPE,0.705
765,SPEEDPEPE,0.355
766,PEPEDJ,0.778
767,PEPFICTION,0.753
768,PEPEOLDTRADE,0.639
769,MATSURIPEPE,0.631
770,PEPEON,0.634
771,PEPEFUYU,0.512
772,PEPEHAND,0.479
773,BERLINPEPE,0.72
774,DARKSIDEPEPE,0.804
775,ENTERTHEPEPE,0.654
