,Price_Level,Date_Index
674,108.4,2020-11
675,108.4,2020-12
676,108.4,2021-01
677,108.4,2021-02
678,108.4,2021-03
679,108.4,2021-04
680,108.4,2021-05
681,108.4,2021-06
682,108.4,2021-07
683,108.4,2021-08
684,677.5,2021-09
685,677.5,2021-10
686,677.5,2021-11
687,677.5,2021-12
688,677.5,2022-01
689,677.5,2022-02
690,677.5,2022-03
691,677.5,2022-04
692,677.5,2022-05
693,0.0,2016-01
694,0.0,2016-02
695,0.0,2016-03
696,0.0,2016-04
697,0.0,2016-05
698,0.0,2016-06
699,0.0,2016-07
700,0.0,2016-08
701,0.0,2016-09
702,0.0,2016-10
703,0.0,2016-11
704,0.0,2016-12
705,0.0,2017-01
706,0.0,2017-02
707,0.0,2017-03
708,0.0,2017-04
709,0.0,2017-05
710,0.0,2017-06
711,0.0,2017-07
712,0.0,2017-08
713,0.0,2017-09
714,0.0,2017-10
715,0.0,2017-11
716,0.0,2017-12
717,0.0,2018-01
718,0.0,2018-02
719,4.950266666666667,2018-03
720,4.950266666666667,2018-04
721,4.950266666666667,2018-05
722,4.950266666666667,2018-06
723,4.950266666666667,2018-07
724,4.950266666666667,2018-08
725,4.950266666666667,2018-09
726,4.950266666666667,2018-10
727,4.950266666666667,2018-11
728,4.950266666666667,2018-12
729,4.950266666666667,2019-01
730,4.950266666666667,2019-02
731,4.950266666666667,2019-03
732,4.950266666666667,2019-04
733,4.950266666666667,2019-05
734,4.950266666666667,2019-06
735,4.950266666666667,2019-07
736,4.950266666666667,2019-08
737,4.950266666666667,2019-09
738,4.950266666666667,2019-10
739,4.950266666666667,2019-11
740,4.950266666666667,2019-12
741,4.950266666666667,2020-01
742,4.950266666666667,2020-02
743,4.950266666666667,2020-03
744,4.950266666666667,2020-04
745,4.950266666666667,2020-05
746,4.950266666666667,2020-06
747,4.950266666666667,2020-07
748,4.950266666666667,2020-08
749,4.950266666666667,2020-09
750,4.950266666666667,2020-10
751,4.950266666666667,2020-11
752,4.950266666666667,2020-12
753,4.950266666666667,2021-01
754,4.950266666666667,2021-02
755,135.5,2021-03
756,135.5,2021-04
757,135.5,2021-05
758,135.5,2021-06
759,135.5,2021-07
760,149.04999999999998,2021-08
761,203.25,2021-09
762,203.25,2021-10
