Name,gini
PEPEKACHU,0.127
PEPEKAPARKER,0.644
PEPEKARLMARX,0.751
PEPEKARMA,0.765
PEPEKART,0.637
PEPEKEEPER,0.732
PEPEKEK,0.773
PEPEKEN,0.402
PEPEKFC,0.648
PEPEKICKS,0.786
PEPEKIDSART,0.43
PEPEKIM,0.886
PEPEKITTIES,0.73
PEPEKK,0.907
PEPEKONGBIGM,0.6
PEPEKUN,0.789
PEPEKYRIE,0.81
PEPELAMA,0.447
PEPELAND,0.861
PEPELANDER,0.812
PEPELARGE,0.612
PEPELAVEY,0.906
PEPELCHTNSTN,0.78
PEPELEGOMAN,0.896
PEPELENNON,0.787
PEPELEO,0.859
PEPELEPEW,0.41
PEPELEVICH,0.803
PEPELEWINSKY,0.878
PEPELIBRARY,0.41
PEPELIBRIUM,0.415
PEPELIKE,0.891
PEPELINK,0.155
PEPELITTLE,0.808
PEPELLUM,0.707
PEPELOCATION,0.527
PEPELOOP,0.813
PEPELOU,0.313
PEPELOUX,0.847
PEPELSD,0.521
PEPELUFFY,0.823
PEPELVSD,0.396
PEPELYNMASON,0.428
PEPEMACARONI,0.714
PEPEMANE,0.556
PEPEMAONE,0.817
PEPEMAORI,0.67
PEPEMARAUDER,0.711
PEPEMARIOLR,0.807
PEPEMARKET,0.393
PEPEMARLEY,0.686
PEPEMASK,0.757
PEPEMAXAF,0.496
PEPEME,0.905
PEPEMEETUPBK,0.832
PEPEMICO,0.728
PEPEMILEY,0.658
PEPEMILLION,0.0
PEPEMIND,0.723
PEPEMINING,0.67
PEPEMINO,0.662
PEPEMINT,0.821
PEPEMNEMONIC,0.495
PEPEMOJI,0.674
PEPEMOM,0.747
PEPEMONROE,0.749
PEPEMONTOYA,0.675
PEPEMORPHS,0.768
PEPEMOVIE,0.54
PEPEMUACK,0.688
PEPENAL,0.597
PEPENAPOLEON,0.778
PEPENATTI,0.862
PEPENAUT,0.558
PEPENCEPTION,0.64
PEPENDRIX,0.746
PEPENEON,0.604
PEPENGAROO,0.473
PEPENICTESLA,0.612
PEPENIETZSCH,0.747
PEPENIN,0.271
PEPENNATOR,0.462
PEPENOFF,0.796
PEPENOMIST,0.808
PEPENORMIES,0.495
PEPENORRIS,0.577
PEPENOSAURUS,0.84
PEPENSTEIN,0.894
PEPENUMA,0.485
PEPEOLDCASH,0.563
PEPEOLDCHAP,0.373
PEPEOLDONE,0.725
PEPEOLDTRADE,0.639
PEPEON,0.634
PEPEONE,0.652
PEPEOROCHI,0.733
PEPEOUTSIDE,0.828
PEPEPAMPERS,0.64
PEPEPARIETAL,0.753
PEPEPARTY,0.673
PEPEPEACE,0.508
PEPEPEACOCK,0.549
PEPEPEANUTS,0.511
PEPEPEARL,0.303
PEPEPEEPS,0.861
PEPEPENPEN,0.484
PEPEPET,0.731
PEPEPHARAON,0.856
PEPEPHONEHOM,0.392
PEPEPILLOW,0.783
PEPEPIRATE,0.817
PEPEPOET,0.642
